# TEST_BEGIN id=87 fw=unknown mode=IMU dist=1.000 time=0.000 can=0.000 ppm=906.1 ppmL=922.9 ppmR=889.3 mtr_bias=1 i2c_hz=100000 ctrl_ms=0 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=20480 spiffs_free=921600
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
1892,0.0000,0.0000,0.000,0.000,0.000,0.000,0.263,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.00,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,1.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
1997,0.0061,0.0061,-0.086,0.000,0.086,0.000,4.108,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.05,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,0.9939,0.0000,0.0000,0.00,0.00,0.0000,-0.0019,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0065,0.0056
2112,0.0193,0.0193,-0.296,0.000,0.296,0.000,-5.901,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.33,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,-0.0000,0.9807,0.0000,0.0000,0.00,0.00,0.0000,0.0093,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0206,0.0180
2215,0.0375,0.0375,-0.830,0.000,0.830,0.000,-4.925,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.75,0,0.000,0.000,0.000,0.000,0,132,128,0,0,0,0,-0.0002,0.9625,0.0000,0.0000,0.00,0.00,0.0000,0.0634,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0390,0.0360
2316,0.0590,0.0590,-1.487,0.000,1.487,0.000,-6.878,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,1.19,0,0.000,0.000,0.000,0.000,0,132,128,0,0,0,0,-0.0007,0.9410,0.0000,0.0000,0.00,0.00,0.0000,0.1725,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0618,0.0562
2416,0.0838,0.0838,-2.507,0.000,2.507,0.000,-13.531,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,2.12,0,0.000,0.000,0.000,0.000,0,133,127,0,0,0,0,-0.0015,0.9162,0.0000,0.0000,0.00,0.00,0.0000,0.3459,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0878,0.0798
2516,0.1124,0.1124,-4.309,0.000,4.309,0.000,-22.869,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,3.68,0,0.000,0.000,0.000,0.000,0,135,125,0,0,0,0,-0.0032,0.8876,0.0000,0.0000,0.00,0.00,0.0000,0.6382,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1192,0.1057
2619,0.1460,0.1460,-6.366,0.000,6.366,0.000,-15.179,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,5.03,0,0.000,0.000,0.000,0.000,0,136,124,0,0,0,0,-0.0064,0.8540,0.0000,0.0000,0.00,0.00,0.0000,1.1090,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1560,0.1361
2721,0.1824,0.1824,-7.676,0.000,7.676,0.000,-9.747,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,5.80,0,0.000,0.000,0.000,0.000,0,137,123,0,0,0,0,-0.0109,0.8176,0.0000,0.0000,0.00,0.00,0.0000,1.6955,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1940,0.1709
2822,0.2210,0.2210,-8.920,0.000,8.920,0.000,-13.165,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,6.99,0,0.000,0.000,0.000,0.000,0,138,122,0,0,0,0,-0.0165,0.7790,0.0000,0.0000,0.00,0.00,0.0000,2.3324,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2341,0.2080
