# TEST_BEGIN id=92 fw=unknown mode=IMU dist=2.000 time=0.000 can=0.000 ppm=906.1 ppmL=922.9 ppmR=889.3 mtr_bias=1 i2c_hz=100000 ctrl_ms=0 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=20480 spiffs_free=921600
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
1892,0.0000,0.0000,0.000,0.000,0.000,0.000,-0.220,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.00,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
1995,0.0022,0.0022,-0.225,0.000,0.225,0.000,-13.770,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,1.41,0,0.000,0.000,0.000,0.000,0,130,130,0,0,0,0,0.0000,0.4978,0.0000,0.0000,0.00,0.00,0.0000,0.0024,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0033,0.0011
2117,0.0098,0.0098,-3.702,0.000,3.702,0.000,-15.906,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,13.32,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.4902,0.0000,0.0000,0.00,0.00,0.0000,0.2633,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0152,0.0045
2217,0.0214,0.0214,-4.601,0.000,4.601,0.000,0.756,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,12.90,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.4786,0.0000,0.0000,0.00,0.00,0.0000,0.6529,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0282,0.0146
2321,0.0385,0.0385,-3.980,0.000,3.980,0.000,10.888,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,10.42,0,0.000,0.000,0.000,0.000,0,121,139,0,0,0,0,0.0000,0.4615,0.0000,0.0000,0.00,0.00,0.0000,1.0192,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0444,0.0326
2424,0.0595,0.0595,-3.214,0.000,3.214,0.000,5.761,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,10.12,0,0.000,0.000,0.000,0.000,0,121,139,0,0,0,0,0.0000,0.4405,0.0000,0.0000,0.00,0.00,0.0000,1.2686,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0639,0.0551
2524,0.0849,0.0849,-2.592,0.000,2.592,0.000,4.480,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,9.70,0,0.000,0.000,0.000,0.000,0,121,139,0,0,0,0,0.0000,0.4151,0.0000,0.0000,0.00,0.00,0.0000,1.4206,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0889,0.0810
2625,0.1136,0.1136,-1.961,0.000,1.961,0.000,8.874,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,8.67,0,0.000,0.000,0.000,0.000,0,122,138,0,0,0,0,0.0000,0.3864,0.0000,0.0000,0.00,0.00,0.0000,1.5013,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1170,0.1102
2726,0.1462,0.1462,-1.025,0.000,1.025,0.000,10.522,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,5.99,0,0.000,0.000,0.000,0.000,0,125,135,0,0,0,0,0.0000,0.3538,0.0000,0.0000,0.00,0.00,0.0000,1.4995,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1485,0.1439
2830,0.1837,0.1837,-0.159,0.000,0.159,0.000,4.907,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,4.57,0,0.000,0.000,0.000,0.000,0,126,134,0,0,0,0,0.0000,0.3163,0.0000,0.0000,0.00,0.00,0.0000,1.4019,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1842,0.1833
2930,0.2246,0.2246,0.134,0.000,-0.134,0.000,1.367,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,4.27,0,0.000,0.000,0.000,0.000,0,127,133,0,0,0,0,0.0000,0.2754,0.0000,0.0000,0.00,0.00,0.0000,1.2648,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2243,0.2249
3033,0.2687,0.2687,0.087,0.000,-0.087,0.000,-2.539,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,4.47,0,0.000,0.000,0.000,0.000,0,127,133,0,0,0,0,0.0000,0.2313,0.0000,0.0000,0.00,0.00,0.0000,1.1274,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2687,0.2688
3136,0.3162,0.3162,-0.498,0.000,0.498,0.000,-7.911,0.000,0.000,0.0000,0.00,0.00,0.0000,119.49,0.00,0.00,6.95,0,0.000,0.000,0.000,0.000,0,114,125,0,0,0,0,0.0000,0.1838,0.0000,0.0000,0.00,0.00,0.0000,1.0349,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3175,0.3149
3238,0.3620,0.3620,-0.916,0.000,0.916,0.000,-5.530,0.000,0.000,0.0000,0.00,0.00,0.0000,110.00,0.00,0.00,7.55,0,0.000,0.000,0.000,0.000,0,103,117,0,0,0,0,0.0000,0.1380,0.0000,0.0000,0.00,0.00,0.0000,1.0063,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3641,0.3598
3343,0.4100,0.4100,-1.949,0.000,1.949,0.000,-13.526,0.000,0.000,0.0000,0.00,0.00,0.0000,110.00,0.00,0.00,12.44,0,0.000,0.000,0.000,0.000,0,100,121,0,0,0,0,0.0000,0.0900,0.0000,0.0000,0.00,0.00,0.0000,1.0450,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4128,0.4071
9001,0.4215,0.4215,-100.763,-94.835,5.928,0.000,-0.281,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,41.73,0,0.000,0.000,0.000,0.000,0,100,171,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,0.0593,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5754,0.2969
9103,0.4249,0.4249,-99.763,-94.835,4.927,0.000,12.231,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,11.04,0,0.000,0.000,0.000,0.000,0,120,140,0,0,0,0,0.0000,0.4966,0.0000,0.0000,0.00,0.00,0.0000,0.5939,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5765,0.3025
9219,0.4332,0.4332,-99.528,-94.835,4.693,0.000,-2.173,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,13.64,0,0.000,0.000,0.000,0.000,0,117,143,0,0,0,0,0.0000,0.4884,0.0000,0.0000,0.00,0.00,0.0000,1.0468,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5841,0.3115
9322,0.4459,0.4459,-98.241,-94.835,3.406,0.000,19.250,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,9.52,0,0.000,0.000,0.000,0.000,0,121,139,0,0,0,0,0.0000,0.4756,0.0000,0.0000,0.00,0.00,0.0000,1.3429,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5949,0.3261
9429,0.4642,0.4642,-96.283,-94.835,1.448,0.000,18.945,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,4.99,0,0.000,0.000,0.000,0.000,0,126,134,0,0,0,0,0.0000,0.4574,0.0000,0.0000,0.00,0.00,0.0000,1.4410,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.6111,0.3463
