# TEST_BEGIN id=100 fw=unknown mode=ENC dist=7.000 time=59.000 can=0.000 ppm=906.2 ppmL=924.5 ppmR=888.0 mtr_bias=1 i2c_hz=100000 ctrl_ms=10 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=300
# spiffs_total=942080 spiffs_used=212992 spiffs_free=729088
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
747,0.0024,0.0024,34.581,34.735,0.154,0.002,-0.485,7.324,7.809,0.0000,0.00,0.00,0.0000,169.00,0.00,0.00,0.00,2,0.000,0.000,0.000,0.000,0,170,168,0,0,0,0,0.0000,0.2476,0.0000,0.0000,0.00,0.00,0.0000,0.0015,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,1,1,170,1,168,0.0000,0.0000
865,0.0384,0.0384,34.912,34.735,-0.177,-0.010,3.055,10.864,7.809,0.0000,0.00,0.00,0.0000,117.27,-0.58,-0.58,-0.58,2,0.000,0.000,0.000,0.000,0,119,116,0,0,0,0,0.0000,0.2116,0.0000,0.0000,0.00,0.00,0.0000,-0.0098,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,1,1,119,1,116,0.0087,0.0124
970,0.0684,0.0684,34.853,34.735,-0.118,-0.027,0.858,8.667,7.809,0.0000,0.00,0.00,0.0000,110.00,-0.38,-0.38,-0.38,2,0.000,0.000,0.000,0.000,1,111,110,0,0,0,0,0.0000,0.1816,0.0000,0.0000,0.00,0.00,0.0000,-0.0272,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,1,1,111,1,110,0.0227,0.0259
1074,0.1002,0.1002,34.336,34.735,0.399,-0.009,-6.161,1.648,7.809,0.0000,0.00,0.00,0.0000,110.00,1.48,1.48,1.48,2,0.000,0.000,0.000,0.000,1,110,110,0,0,0,0,0.0000,0.1498,0.0000,0.0000,0.00,0.00,0.0000,-0.0094,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,1,1,110,1,110,0.0411,0.0428
1174,0.1302,0.1302,33.123,34.735,1.612,0.081,-12.265,-4.456,7.809,0.0000,0.00,0.00,0.0000,110.00,6.05,6.05,6.05,2,0.000,0.000,0.000,0.000,1,105,115,0,0,0,0,0.0000,0.1198,0.0000,0.0000,0.00,0.00,0.0000,0.0814,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,1,1,110,1,115,0.0595,0.0586
1275,0.1605,0.1605,31.698,34.735,3.037,0.305,-13.669,-5.859,7.809,0.0000,0.00,0.00,0.0000,110.00,11.19,11.19,11.19,2,0.000,0.000,0.000,0.000,1,100,120,0,0,0,0,0.0000,0.0895,0.0000,0.0000,0.00,0.00,0.0000,0.3046,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,1,1,110,1,120,0.0800,0.0755
1708,0.0000,0.1716,32.308,-55.265,-87.573,-1.911,2.139,9.949,7.809,0.0000,0.00,0.00,0.0000,135.75,5.75,0.00,0.00,1,0.000,0.000,0.000,0.000,0,136,136,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,-1.9114,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,0,1,136,2,136,0.0919,0.0912
1812,0.0000,0.1716,27.764,-55.265,-83.029,-6.667,-46.628,-38.818,7.809,0.0000,0.00,0.00,0.0000,148.55,18.55,0.00,0.00,1,0.000,0.000,0.000,0.000,0,149,149,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,-6.6667,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,0,1,149,2,149,0.0963,0.0845
1912,0.0000,0.1716,19.640,-55.265,-74.905,-6.667,-112.057,-104.248,7.809,0.0000,0.00,0.00,0.0000,147.20,17.20,0.00,0.00,1,0.000,0.000,0.000,0.000,0,147,147,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,-6.6667,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,0,1,147,2,147,0.1082,0.0755
2013,0.0000,0.1716,4.123,-55.265,-59.388,-6.667,-179.868,-172.058,7.809,0.0000,0.00,0.00,0.0000,145.08,15.08,0.00,0.00,1,0.000,0.000,0.000,0.000,0,145,145,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,-6.6667,0.00,0.0,0.00,1.00,0.00,0.0,0.0,1,0,1,145,2,145,0.1331,0.0563
