# TEST_BEGIN id=108 fw=unknown mode=ENC dist=6.750 time=63.000 can=0.000 ppm=906.2 ppmL=924.5 ppmR=888.0 mtr_bias=1 i2c_hz=100000 ctrl_ms=10 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=45056 spiffs_free=897024
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
0,0.0000,0.0000,26.718,26.733,0.015,0.000,-0.686,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,0.00,0,0.000,0.000,0.000,0.000,0,221,219,0,0,0,0,0.0000,2.3750,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
171,0.0656,0.0656,30.208,26.733,-3.474,0.000,16.160,0.000,0.000,0.0000,0.00,0.00,0.0000,139.28,0.00,0.00,-9.74,0,0.000,0.000,0.000,0.000,0,150,129,0,0,0,0,0.0000,2.3094,0.0000,0.0000,0.00,0.00,0.0000,-0.1737,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0692,0.0619
271,0.1097,0.1097,31.263,26.733,-4.530,0.000,6.760,0.000,0.000,0.0000,0.00,0.00,0.0000,138.66,0.00,0.00,-10.27,0,0.000,0.000,0.000,0.000,0,150,127,0,0,0,0,0.0000,2.2653,0.0000,0.0000,0.00,0.00,0.0000,-0.5399,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1147,0.1047
378,0.1676,0.1676,28.092,26.733,-1.358,0.000,-29.556,0.000,0.000,0.0000,0.00,0.00,0.0000,137.76,0.00,0.00,-1.63,0,0.000,0.000,0.000,0.000,0,140,135,0,0,0,0,0.0000,2.2074,0.0000,0.0000,0.00,0.00,0.0000,-0.6259,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1752,0.1599
481,0.2221,0.2221,24.482,26.733,2.251,0.000,-34.072,0.000,0.000,0.0000,0.00,0.00,0.0000,136.92,0.00,0.00,6.09,0,0.000,0.000,0.000,0.000,0,132,142,0,0,0,0,0.0000,2.1529,0.0000,0.0000,0.00,0.00,0.0000,-0.4943,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2336,0.2106
604,0.2943,0.2943,20.461,26.733,6.272,0.000,-26.504,0.000,0.000,0.0000,0.00,0.00,0.0000,135.76,0.00,0.00,14.40,0,0.000,0.000,0.000,0.000,0,122,149,0,0,0,0,0.0000,2.0807,0.0000,0.0000,0.00,0.00,0.0000,0.1268,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3105,0.2782
709,0.3527,0.3527,18.390,26.733,8.343,0.000,-18.569,0.000,0.000,0.0000,0.00,0.00,0.0000,134.84,0.00,0.00,19.08,0,0.000,0.000,0.000,0.000,0,117,153,0,0,0,0,0.0000,2.0223,0.0000,0.0000,0.00,0.00,0.0000,0.6214,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3721,0.3333
818,0.4150,0.4150,16.790,26.733,9.943,0.000,-8.987,0.000,0.000,0.0000,0.00,0.00,0.0000,133.84,0.00,0.00,22.19,0,0.000,0.000,0.000,0.000,0,113,155,0,0,0,0,0.0000,1.9600,0.0000,0.0000,0.00,0.00,0.0000,1.5264,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4370,0.3930
921,0.4735,0.4735,16.586,26.733,10.147,0.000,0.474,0.000,0.000,0.0000,0.00,0.00,0.0000,132.90,0.00,0.00,22.67,0,0.000,0.000,0.000,0.000,0,111,155,0,0,0,0,0.0000,1.9015,0.0000,0.0000,0.00,0.00,0.0000,2.3506,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4954,0.4516
1032,0.5425,0.5425,18.439,26.733,8.294,0.000,17.319,0.000,0.000,0.0000,0.00,0.00,0.0000,131.75,0.00,0.00,18.38,0,0.000,0.000,0.000,0.000,0,114,149,0,0,0,0,0.0000,1.8325,0.0000,0.0000,0.00,0.00,0.0000,2.8254,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5614,0.5236
1135,0.6010,0.6010,19.853,26.733,6.881,0.000,6.394,0.000,0.000,0.0000,0.00,0.00,0.0000,130.80,0.00,0.00,16.29,0,0.000,0.000,0.000,0.000,0,116,146,0,0,0,0,0.0000,1.7740,0.0000,0.0000,0.00,0.00,0.0000,3.2659,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.6187,0.5833
1242,0.6651,0.6651,20.852,26.733,5.882,0.000,9.568,0.000,0.000,0.0000,0.00,0.00,0.0000,129.74,0.00,0.00,14.73,0,0.000,0.000,0.000,0.000,0,116,143,0,0,0,0,0.0000,1.7099,0.0000,0.0000,0.00,0.00,0.0000,3.5813,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.6815,0.6486
1346,0.7274,0.7274,21.468,26.733,5.265,0.000,4.868,0.000,0.000,0.0000,0.00,0.00,0.0000,128.70,0.00,0.00,13.67,0,0.000,0.000,0.000,0.000,0,116,141,0,0,0,0,0.0000,1.6476,0.0000,0.0000,0.00,0.00,0.0000,3.6880,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.7421,0.7128
1447,0.7865,0.7865,22.026,26.733,4.707,0.000,3.830,0.000,0.000,0.0000,0.00,0.00,0.0000,127.72,0.00,0.00,12.88,0,0.000,0.000,0.000,0.000,0,116,140,0,0,0,0,0.0000,1.5885,0.0000,0.0000,0.00,0.00,0.0000,3.8084,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.8005,0.7725
1551,0.8477,0.8477,22.203,26.733,4.530,0.000,0.779,0.000,0.000,0.0000,0.00,0.00,0.0000,126.69,0.00,0.00,12.87,0,0.000,0.000,0.000,0.000,0,115,139,0,0,0,0,0.0000,1.5273,0.0000,0.0000,0.00,0.00,0.0000,3.8848,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.8621,0.8333
1714,0.9437,0.9437,22.034,26.733,4.699,0.000,1.633,0.000,0.000,0.0000,0.00,0.00,0.0000,125.08,0.00,0.00,13.42,0,0.000,0.000,0.000,0.000,0,113,138,0,0,0,0,0.0000,1.4313,0.0000,0.0000,0.00,0.00,0.0000,3.9255,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.9573,0.9302
1816,1.0017,1.0017,22.001,26.733,4.732,0.000,-1.480,0.000,0.000,0.0000,0.00,0.00,0.0000,124.11,0.00,0.00,13.52,0,0.000,0.000,0.000,0.000,0,112,137,0,0,0,0,0.0000,1.3733,0.0000,0.0000,0.00,0.00,0.0000,3.9997,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.0146,0.9887
1917,1.0596,1.0596,21.580,26.733,5.153,0.000,-2.151,0.000,0.000,0.0000,0.00,0.00,0.0000,123.13,0.00,0.00,14.64,0,0.000,0.000,0.000,0.000,0,109,137,0,0,0,0,0.0000,1.3154,0.0000,0.0000,0.00,0.00,0.0000,4.0675,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.0741,1.0450
2020,1.1159,1.1159,21.151,26.733,5.582,0.000,-3.128,0.000,0.000,0.0000,0.00,0.00,0.0000,122.19,0.00,0.00,15.58,0,0.000,0.000,0.000,0.000,0,108,137,0,0,0,0,0.0000,1.2591,0.0000,0.0000,0.00,0.00,0.0000,4.1977,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.1304,1.1014
2127,1.1777,1.1777,20.536,26.733,6.197,0.000,-10.025,0.000,0.000,0.0000,0.00,0.00,0.0000,121.14,0.00,0.00,17.20,0,0.000,0.000,0.000,0.000,0,105,137,0,0,0,0,0.0000,1.1973,0.0000,0.0000,0.00,0.00,0.0000,4.3717,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.1920,1.1633
2314,1.2819,1.2819,18.723,26.733,8.011,0.000,-10.635,0.000,0.000,0.0000,0.00,0.00,0.0000,119.36,0.00,0.00,22.10,0,0.000,0.000,0.000,0.000,0,100,140,0,0,0,0,0.0000,1.0931,0.0000,0.0000,0.00,0.00,0.0000,4.5537,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.2991,1.2646
2417,1.3348,1.3348,18.009,26.733,8.724,0.000,-5.264,0.000,0.000,0.0000,0.00,0.00,0.0000,118.48,0.00,0.00,22.82,0,0.000,0.000,0.000,0.000,0,100,140,0,0,0,0,0.0000,1.0402,0.0000,0.0000,0.00,0.00,0.0000,4.9177,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.3532,1.3164
2524,1.3933,1.3933,17.307,26.733,9.426,0.000,-5.569,0.000,0.000,0.0000,0.00,0.00,0.0000,117.48,0.00,0.00,24.57,0,0.000,0.000,0.000,0.000,0,100,141,0,0,0,0,0.0000,0.9817,0.0000,0.0000,0.00,0.00,0.0000,5.2094,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.4116,1.3750
2624,1.4485,1.4485,17.123,26.733,9.610,0.000,-1.907,0.000,0.000,0.0000,0.00,0.00,0.0000,116.53,0.00,0.00,24.95,0,0.000,0.000,0.000,0.000,0,100,140,0,0,0,0,0.0000,0.9265,0.0000,0.0000,0.00,0.00,0.0000,5.6303,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.4668,1.4302
