# TEST_BEGIN id=134 fw=unknown mode=ENC enc=BOTH dist=13.250 time=63.000 can=0.000 ppm=906.2 ppmL=924.5 ppmR=888.0 mtr_bias=-12 i2c_hz=100000 ctrl_ms=10 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=81920 spiffs_free=860160
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
0,0.0000,0.0000,-66.137,-66.321,-0.184,0.000,1.505,0.000,0.000,0.0000,0.00,0.00,0.0000,160.00,0.00,0.00,-0.00,0,0.000,0.000,0.000,0.000,0,148,172,0,0,0,0,0.0000,0.3750,0.0000,0.0000,0.00,0.00,0.0000,-0.0018,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
103,0.0066,0.0066,-64.546,-66.321,-1.775,0.000,15.483,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-6.17,0,0.000,0.000,0.000,0.000,0,214,226,0,0,0,0,0.0000,0.3684,0.0000,0.0000,0.00,0.00,0.0000,-0.0999,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0054,0.0079
206,0.0387,0.0387,-62.641,-66.321,-3.680,0.000,5.534,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-13.66,0,0.000,0.000,0.000,0.000,0,222,218,0,0,0,0,0.0000,0.3363,0.0000,0.0000,0.00,0.00,0.0000,-0.3726,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0368,0.0405
311,0.0960,0.0960,-62.581,-66.321,-3.740,0.000,-3.988,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-14.99,0,0.000,0.000,0.000,0.000,0,223,217,0,0,0,0,0.0000,0.2790,0.0000,0.0000,0.00,0.00,0.0000,-0.7134,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0941,0.0980
425,0.1782,0.1782,-63.908,-66.321,-2.413,0.000,-3.621,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-7.59,0,0.000,0.000,0.000,0.000,0,216,224,0,0,0,0,0.0000,0.1968,0.0000,0.0000,0.00,0.00,0.0000,-0.8526,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1774,0.1791
525,0.2566,0.2566,-63.615,-66.321,-2.706,0.000,1.628,0.000,0.000,0.0000,0.00,0.00,0.0000,173.68,0.00,0.00,-12.46,0,0.000,0.000,0.000,0.000,0,174,173,0,0,0,0,0.0000,0.1184,0.0000,0.0000,0.00,0.00,0.0000,-1.0076,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2553,0.2579
3127,0.3376,0.3376,24.735,24.699,-0.036,0.000,-0.326,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-0.02,0,0.000,0.000,0.000,0.000,0,208,232,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,-1.1139,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
3244,0.3675,0.3675,29.643,24.699,-4.944,0.000,42.216,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-20.32,0,0.000,0.000,0.000,0.000,0,228,212,0,0,0,0,0.0000,0.4701,0.0000,0.0000,0.00,0.00,0.0000,-1.3477,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0249,0.0349
3351,0.4216,0.4216,29.453,24.699,-4.754,0.000,-24.740,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-10.92,0,0.000,0.000,0.000,0.000,0,219,221,0,0,0,0,0.0000,0.4161,0.0000,0.0000,0.00,0.00,0.0000,-1.7663,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0800,0.0878
3455,0.4938,0.4938,28.815,24.699,-4.116,0.000,6.693,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-13.45,0,0.000,0.000,0.000,0.000,0,221,219,0,0,0,0,0.0000,0.3438,0.0000,0.0000,0.00,0.00,0.0000,-1.9935,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1525,0.1599
3556,0.5744,0.5744,29.034,24.699,-4.335,0.000,0.590,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-20.09,0,0.000,0.000,0.000,0.000,0,228,212,0,0,0,0,0.0000,0.2632,0.0000,0.0000,0.00,0.00,0.0000,-2.1361,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2326,0.2410
3667,0.6704,0.6704,27.299,24.699,-2.600,0.000,-18.209,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-8.69,0,0.000,0.000,0.000,0.000,0,217,223,0,0,0,0,0.0000,0.1673,0.0000,0.0000,0.00,0.00,0.0000,-2.2781,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3310,0.3345
3771,0.7647,0.7647,25.600,24.699,-0.901,0.000,-6.490,0.000,0.000,0.0000,0.00,0.00,0.0000,132.00,0.00,0.00,-3.70,0,0.000,0.000,0.000,0.000,0,124,140,0,0,0,0,0.0000,0.0730,0.0000,0.0000,0.00,0.00,0.0000,-2.1989,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4273,0.4268
6544,0.9770,0.9770,-62.992,-63.306,-0.314,0.000,0.529,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-0.03,0,0.000,0.000,0.000,0.000,0,208,232,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,-2.1801,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
6662,1.0091,1.0091,-58.777,-63.306,-4.528,0.000,34.831,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-19.24,0,0.000,0.000,0.000,0.000,0,227,213,0,0,0,0,0.0000,0.4679,0.0000,0.0000,0.00,0.00,0.0000,-2.3126,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0270,0.0372
6763,1.0593,1.0593,-59.146,-63.306,-4.160,0.000,-25.411,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-10.76,0,0.000,0.000,0.000,0.000,0,219,221,0,0,0,0,0.0000,0.4177,0.0000,0.0000,0.00,0.00,0.0000,-2.5572,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0779,0.0867
6864,1.1310,1.1310,-59.811,-63.306,-3.494,0.000,9.745,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-12.82,0,0.000,0.000,0.000,0.000,0,221,219,0,0,0,0,0.0000,0.3460,0.0000,0.0000,0.00,0.00,0.0000,-2.6457,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1493,0.1588
6971,1.2149,1.2149,-59.780,-63.306,-3.526,0.000,-7.161,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-17.09,0,0.000,0.000,0.000,0.000,0,225,215,0,0,0,0,0.0000,0.2621,0.0000,0.0000,0.00,0.00,0.0000,-2.7037,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2336,0.2421
7082,1.3097,1.3097,-61.619,-63.306,-1.687,0.000,-17.782,0.000,0.000,0.0000,0.00,0.00,0.0000,220.00,0.00,0.00,-6.02,0,0.000,0.000,0.000,0.000,0,214,226,0,0,0,0,0.0000,0.1672,0.0000,0.0000,0.00,0.00,0.0000,-2.6878,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3299,0.3356
