# TEST_BEGIN id=143 fw=unknown mode=ENC enc=LEFT dist=13.250 time=63.000 can=0.000 ppm=906.2 ppmL=924.5 ppmR=888.0 mtr_bias=-12 i2c_hz=100000 ctrl_ms=10 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=73728 spiffs_free=868352
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
0,0.0000,0.0000,-172.694,-172.694,-0.000,0.000,0.351,0.000,0.000,0.0000,0.00,0.00,0.0000,126.59,0.00,0.00,-0.01,0,0.000,0.000,0.000,0.000,0,115,139,0,0,0,0,0.0000,0.3750,0.0000,0.0000,0.00,0.00,0.0000,-1.4850,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
105,0.0043,0.0043,-171.372,-172.694,-1.322,0.000,9.323,0.000,0.000,0.0000,0.00,0.00,0.0000,126.19,0.00,0.00,-2.36,0,0.000,0.000,0.000,0.000,0,117,136,0,0,0,0,0.0000,0.3707,0.0000,0.0000,0.00,0.00,0.0000,-1.4712,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0043,0.0124
216,0.0065,0.0065,-169.036,-172.694,-3.658,0.000,30.441,0.000,0.000,0.0000,0.00,0.00,0.0000,127.42,0.00,0.00,-9.38,0,0.000,0.000,0.000,0.000,0,125,130,0,0,0,0,0.0000,0.3685,0.0000,0.0000,0.00,0.00,0.0000,-1.5838,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0065,0.0236
323,0.0151,0.0151,-166.820,-172.694,-5.874,0.000,6.882,0.000,0.000,0.0000,0.00,0.00,0.0000,130.19,0.00,0.00,-17.43,0,0.000,0.000,0.000,0.000,0,136,125,0,0,0,0,0.0000,0.3599,0.0000,0.0000,0.00,0.00,0.0000,-1.9429,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0151,0.0372
429,0.0325,0.0325,-167.919,-172.694,-4.775,0.000,-10.025,0.000,0.000,0.0000,0.00,0.00,0.0000,135.07,0.00,0.00,-13.10,0,0.000,0.000,0.000,0.000,0,136,134,0,0,0,0,0.0000,0.3425,0.0000,0.0000,0.00,0.00,0.0000,-2.0845,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0325,0.0541
553,0.0617,0.0617,-169.175,-172.694,-3.519,0.000,-11.307,0.000,0.000,0.0000,0.00,0.00,0.0000,144.58,0.00,0.00,-9.56,0,0.000,0.000,0.000,0.000,0,142,147,0,0,0,0,0.0000,0.3133,0.0000,0.0000,0.00,0.00,0.0000,-2.3188,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0617,0.0811
653,0.0919,0.0919,-170.436,-172.694,-2.258,0.000,-10.513,0.000,0.000,0.0000,0.00,0.00,0.0000,155.37,0.00,0.00,-8.80,0,0.000,0.000,0.000,0.000,0,152,159,0,0,0,0,0.0000,0.2831,0.0000,0.0000,0.00,0.00,0.0000,-2.3659,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0919,0.1081
772,0.1385,0.1385,-172.201,-172.694,-0.494,0.000,-14.969,0.000,0.000,0.0000,0.00,0.00,0.0000,170.17,0.00,0.00,-0.63,0,0.000,0.000,0.000,0.000,0,159,182,0,0,0,0,0.0000,0.2365,0.0000,0.0000,0.00,0.00,0.0000,-2.2426,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1385,0.1486
872,0.1839,0.1839,-173.323,-172.694,0.628,0.000,-8.865,0.000,0.000,0.0000,0.00,0.00,0.0000,162.71,0.00,0.00,1.88,0,0.000,0.000,0.000,0.000,0,149,177,0,0,0,0,0.0000,0.1911,0.0000,0.0000,0.00,0.00,0.0000,-2.0140,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1839,0.1903
984,0.2380,0.2380,-173.325,-172.694,0.631,0.000,5.234,0.000,0.000,0.0000,0.00,0.00,0.0000,143.19,0.00,0.00,-0.91,0,0.000,0.000,0.000,0.000,0,132,154,0,0,0,0,0.0000,0.1370,0.0000,0.0000,0.00,0.00,0.0000,-1.7160,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2380,0.2466
1157,0.3278,0.3278,-170.077,-172.694,-2.617,0.000,17.929,0.000,0.000,0.0000,0.00,0.00,0.0000,110.00,0.00,0.00,-22.87,0,0.000,0.000,0.000,0.000,0,121,99,0,0,0,0,0.0000,0.0472,0.0000,0.0000,0.00,0.00,0.0000,-1.7611,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3278,0.3446
4193,0.3440,0.3440,-109.143,-74.720,34.423,0.000,-54.703,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.20,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.4989,0.0000,0.0000,0.00,0.00,0.0000,-1.1408,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0011,0.0000
4298,0.3635,0.3635,-112.384,-74.720,37.664,0.000,-28.702,0.000,0.000,0.0000,0.00,0.00,0.0000,130.21,0.00,0.00,21.20,0,0.000,0.000,0.000,0.000,0,97,163,0,0,0,0,0.0000,0.4794,0.0000,0.0000,0.00,0.00,0.0000,1.1637,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0206,0.0124
4399,0.3797,0.3797,-113.301,-74.720,38.580,0.000,10.422,0.000,0.000,0.0000,0.00,0.00,0.0000,131.56,0.00,0.00,26.31,0,0.000,0.000,0.000,0.000,0,93,170,0,0,0,0,0.0000,0.4632,0.0000,0.0000,0.00,0.00,0.0000,4.7762,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0368,0.0270
8318,0.3981,0.3981,163.022,-200.683,-3.704,0.000,-0.137,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-0.02,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,1.4480,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
8489,0.4024,0.4024,167.060,-200.683,-7.742,0.000,23.056,0.000,0.000,0.0000,0.00,0.00,0.0000,130.89,0.00,0.00,-13.11,0,0.000,0.000,0.000,0.000,0,132,130,0,0,0,0,0.0000,0.4957,0.0000,0.0000,0.00,0.00,0.0000,0.9884,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0043,0.0135
8594,0.4089,0.4089,169.675,-200.683,-10.358,0.000,1.572,0.000,0.000,0.0000,0.00,0.00,0.0000,133.74,0.00,0.00,-21.77,0,0.000,0.000,0.000,0.000,0,144,124,0,0,0,0,0.0000,0.4892,0.0000,0.0000,0.00,0.00,0.0000,-0.0246,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0108,0.0214
8700,0.4240,0.4240,166.966,-200.683,-7.648,0.000,-27.237,0.000,0.000,0.0000,0.00,0.00,0.0000,139.88,0.00,0.00,-13.38,0,0.000,0.000,0.000,0.000,0,141,138,0,0,0,0,0.0000,0.4740,0.0000,0.0000,0.00,0.00,0.0000,-0.4939,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0260,0.0383
8806,0.4467,0.4467,164.604,-200.683,-5.286,0.000,-24.185,0.000,0.000,0.0000,0.00,0.00,0.0000,150.55,0.00,0.00,-8.86,0,0.000,0.000,0.000,0.000,0,147,154,0,0,0,0,0.0000,0.4513,0.0000,0.0000,0.00,0.00,0.0000,-1.0841,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0487,0.0552
8910,0.4792,0.4792,162.457,-200.683,-3.140,0.000,-17.654,0.000,0.000,0.0000,0.00,0.00,0.0000,166.66,0.00,0.00,-5.33,0,0.000,0.000,0.000,0.000,0,160,173,0,0,0,0,0.0000,0.4189,0.0000,0.0000,0.00,0.00,0.0000,-1.3723,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0811,0.0822
9019,0.5203,0.5203,161.869,-200.683,-2.552,0.000,-5.447,0.000,0.000,0.0000,0.00,0.00,0.0000,186.38,0.00,0.00,-4.97,0,0.000,0.000,0.000,0.000,0,179,193,0,0,0,0,0.0000,0.3778,0.0000,0.0000,0.00,0.00,0.0000,-1.4313,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1222,0.1205
9143,0.5776,0.5776,162.441,-200.683,-3.124,0.000,13.779,0.000,0.000,0.0000,0.00,0.00,0.0000,200.79,0.00,0.00,-12.48,0,0.000,0.000,0.000,0.000,0,201,200,0,0,0,0,0.0000,0.3204,0.0000,0.0000,0.00,0.00,0.0000,-1.5714,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1796,0.1802
9253,0.6393,0.6393,162.682,-200.683,-3.365,0.000,-8.865,0.000,0.000,0.0000,0.00,0.00,0.0000,183.89,0.00,0.00,-14.59,0,0.000,0.000,0.000,0.000,0,186,181,0,0,0,0,0.0000,0.2588,0.0000,0.0000,0.00,0.00,0.0000,-1.7667,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2412,0.2421
9375,0.7237,0.7237,160.223,-200.683,-0.906,0.000,-18.143,0.000,0.000,0.0000,0.00,0.00,0.0000,156.96,0.00,0.00,-0.61,0,0.000,0.000,0.000,0.000,0,146,168,0,0,0,0,0.0000,0.1744,0.0000,0.0000,0.00,0.00,0.0000,-1.7235,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3256,0.3209
9485,0.7994,0.7994,158.967,-200.683,0.350,0.000,-3.921,0.000,0.000,0.0000,0.00,0.00,0.0000,127.54,0.00,0.00,1.20,0,0.000,0.000,0.000,0.000,0,114,141,0,0,0,0,0.0000,0.0987,0.0000,0.0000,0.00,0.00,0.0000,-1.5552,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4013,0.3930
11998,0.8610,0.8610,74.356,73.612,-0.744,0.000,-0.687,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-0.01,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,-1.4270,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
12105,0.8686,0.8686,74.609,73.612,-0.997,0.000,-6.546,0.000,0.000,0.0000,0.00,0.00,0.0000,130.22,0.00,0.00,-1.42,0,0.000,0.000,0.000,0.000,0,120,141,0,0,0,0,0.0000,0.4924,0.0000,0.0000,0.00,0.00,0.0000,-1.4005,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0076,0.0158
12213,0.8783,0.8783,74.542,73.612,-0.930,0.000,-1.907,0.000,0.000,0.0000,0.00,0.00,0.0000,131.77,0.00,0.00,-2.18,0,0.000,0.000,0.000,0.000,0,122,142,0,0,0,0,0.0000,0.4827,0.0000,0.0000,0.00,0.00,0.0000,-1.3591,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0173,0.0259
12313,0.8978,0.8978,74.017,73.612,-0.405,0.000,-5.081,0.000,0.000,0.0000,0.00,0.00,0.0000,135.55,0.00,0.00,-1.26,0,0.000,0.000,0.000,0.000,0,125,146,0,0,0,0,0.0000,0.4632,0.0000,0.0000,0.00,0.00,0.0000,-1.2929,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0368,0.0439
12564,0.9735,0.9735,72.473,73.612,1.139,0.000,-8.011,0.000,0.000,0.0000,0.00,0.00,0.0000,128.31,0.00,0.00,6.42,0,0.000,0.000,0.000,0.000,0,110,147,0,0,0,0,0.0000,0.3875,0.0000,0.0000,0.00,0.00,0.0000,-1.1713,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1125,0.1149
12679,1.0136,1.0136,74.953,73.612,-1.341,0.000,22.629,0.000,0.000,0.0000,0.00,0.00,0.0000,175.30,0.00,0.00,-10.87,0,0.000,0.000,0.000,0.000,0,174,176,0,0,0,0,0.0000,0.3475,0.0000,0.0000,0.00,0.00,0.0000,-1.1798,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1525,0.1565
12792,1.0612,1.0612,76.599,73.612,-2.987,0.000,11.521,0.000,0.000,0.0000,0.00,0.00,0.0000,193.88,0.00,0.00,-16.45,0,0.000,0.000,0.000,0.000,0,198,189,0,0,0,0,0.0000,0.2999,0.0000,0.0000,0.00,0.00,0.0000,-1.3096,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2001,0.2083
12900,1.1185,1.1185,76.681,73.612,-3.069,0.000,-3.311,0.000,0.000,0.0000,0.00,0.00,0.0000,179.09,0.00,0.00,-13.34,0,0.000,0.000,0.000,0.000,0,180,178,0,0,0,0,0.0000,0.2426,0.0000,0.0000,0.00,0.00,0.0000,-1.4971,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2574,0.2669
13023,1.1964,1.1964,75.143,73.612,-1.531,0.000,-13.809,0.000,0.000,0.0000,0.00,0.00,0.0000,153.50,0.00,0.00,-4.44,0,0.000,0.000,0.000,0.000,0,146,161,0,0,0,0,0.0000,0.1647,0.0000,0.0000,0.00,0.00,0.0000,-1.5180,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3353,0.3423
13131,1.2667,1.2667,74.258,73.612,-0.646,0.000,-5.325,0.000,0.000,0.0000,0.00,0.00,0.0000,125.66,0.00,0.00,-3.17,0,0.000,0.000,0.000,0.000,0,117,134,0,0,0,0,0.0000,0.0944,0.0000,0.0000,0.00,0.00,0.0000,-1.4566,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4056,0.4077
16289,1.3327,1.3327,109.987,165.891,55.905,0.000,-76.248,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.40,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.4978,0.0000,0.0000,0.00,0.00,0.0000,-0.8365,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0022,0.0000
16397,1.3575,1.3575,104.314,165.891,61.577,0.000,-58.060,0.000,0.000,0.0000,0.00,0.00,0.0000,130.23,0.00,0.00,22.00,0,0.000,0.000,0.000,0.000,0,96,164,0,0,0,0,0.0000,0.4730,0.0000,0.0000,0.00,0.00,0.0000,2.8637,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0270,0.0090
16497,1.3792,1.3792,100.686,165.891,65.205,0.000,-11.490,0.000,0.000,0.0000,0.00,0.00,0.0000,131.63,0.00,0.00,26.33,0,0.000,0.000,0.000,0.000,0,93,170,0,0,0,0,0.0000,0.4513,0.0000,0.0000,0.00,0.00,0.0000,8.5370,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0487,0.0236
20415,1.4008,1.4008,-77.233,282.260,-0.506,0.000,-0.687,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.00,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,1.4799,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
