# TEST_BEGIN id=148 fw=unknown mode=ENC enc=BOTH dist=6.750 time=63.000 can=0.000 ppm=906.2 ppmL=924.5 ppmR=888.0 mtr_bias=0 i2c_hz=100000 ctrl_ms=10 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=0 spiffs_free=942080
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
0,0.0000,0.0000,177.769,177.778,0.009,0.000,0.727,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.00,0,0.000,0.000,0.000,0.000,0,130,130,0,0,0,0,0.0000,2.3750,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
102,0.0017,0.0017,178.061,177.778,-0.283,0.000,3.657,0.000,0.000,0.0000,0.00,0.00,0.0000,130.02,0.00,0.00,-0.42,0,0.000,0.000,0.000,0.000,0,130,130,0,0,0,0,0.0000,2.3733,0.0000,0.0000,0.00,0.00,0.0000,-0.0141,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0011,0.0023
213,0.0049,0.0049,175.888,177.778,1.890,0.000,-31.011,0.000,0.000,0.0000,0.00,0.00,0.0000,130.20,0.00,0.00,5.92,0,0.000,0.000,0.000,0.000,0,124,136,0,0,0,0,0.0000,2.3701,0.0000,0.0000,0.00,0.00,0.0000,0.0500,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0076,0.0023
332,0.0125,0.0125,171.738,177.778,6.040,0.000,-20.330,0.000,0.000,0.0000,0.00,0.00,0.0000,130.78,0.00,0.00,19.57,0,0.000,0.000,0.000,0.000,0,111,150,0,0,0,0,0.0000,2.3625,0.0000,0.0000,0.00,0.00,0.0000,0.5478,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0206,0.0045
436,0.0241,0.0241,172.699,177.778,5.079,0.000,8.112,0.000,0.000,0.0000,0.00,0.00,0.0000,131.78,0.00,0.00,13.71,0,0.000,0.000,0.000,0.000,0,118,145,0,0,0,0,0.0000,2.3509,0.0000,0.0000,0.00,0.00,0.0000,0.7744,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0325,0.0158
536,0.0407,0.0407,174.327,177.778,3.451,0.000,17.267,0.000,0.000,0.0000,0.00,0.00,0.0000,133.29,0.00,0.00,6.47,0,0.000,0.000,0.000,0.000,0,127,140,0,0,0,0,0.0000,2.3343,0.0000,0.0000,0.00,0.00,0.0000,1.0947,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0465,0.0349
637,0.0612,0.0612,175.672,177.778,2.106,0.000,8.051,0.000,0.000,0.0000,0.00,0.00,0.0000,135.46,0.00,0.00,3.96,0,0.000,0.000,0.000,0.000,0,131,139,0,0,0,0,0.0000,2.3138,0.0000,0.0000,0.00,0.00,0.0000,1.2380,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0649,0.0574
761,0.0965,0.0965,176.162,177.778,1.616,0.000,2.619,0.000,0.000,0.0000,0.00,0.00,0.0000,138.98,0.00,0.00,4.36,0,0.000,0.000,0.000,0.000,0,135,143,0,0,0,0,0.0000,2.2785,0.0000,0.0000,0.00,0.00,0.0000,1.2699,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0995,0.0935
865,0.1290,0.1290,176.552,177.778,1.226,0.000,4.755,0.000,0.000,0.0000,0.00,0.00,0.0000,140.02,0.00,0.00,3.81,0,0.000,0.000,0.000,0.000,0,136,144,0,0,0,0,0.0000,2.2460,0.0000,0.0000,0.00,0.00,0.0000,1.2862,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1320,0.1261
972,0.1677,0.1677,177.265,177.778,0.513,0.000,6.586,0.000,0.000,0.0000,0.00,0.00,0.0000,139.52,0.00,0.00,1.40,0,0.000,0.000,0.000,0.000,0,138,141,0,0,0,0,0.0000,2.2073,0.0000,0.0000,0.00,0.00,0.0000,1.2411,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1687,0.1667
1084,0.2124,0.2124,178.281,177.778,-0.503,0.000,7.563,0.000,0.000,0.0000,0.00,0.00,0.0000,138.91,0.00,0.00,-2.60,0,0.000,0.000,0.000,0.000,0,142,136,0,0,0,0,0.0000,2.1626,0.0000,0.0000,0.00,0.00,0.0000,1.1380,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2120,0.2128
1185,0.2560,0.2560,178.659,177.778,-0.881,0.000,1.093,0.000,0.000,0.0000,0.00,0.00,0.0000,138.29,0.00,0.00,-1.47,0,0.000,0.000,0.000,0.000,0,140,137,0,0,0,0,0.0000,2.1190,0.0000,0.0000,0.00,0.00,0.0000,0.9542,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.2553,0.2568
1292,0.3034,0.3034,178.146,177.778,-0.368,0.000,-10.137,0.000,0.000,0.0000,0.00,0.00,0.0000,137.60,0.00,0.00,1.91,0,0.000,0.000,0.000,0.000,0,136,140,0,0,0,0,0.0000,2.0716,0.0000,0.0000,0.00,0.00,0.0000,0.7919,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.3040,0.3029
1569,0.4414,0.4414,179.557,177.778,-1.779,0.000,4.694,0.000,0.000,0.0000,0.00,0.00,0.0000,135.47,0.00,0.00,-7.25,0,0.000,0.000,0.000,0.000,0,143,128,0,0,0,0,0.0000,1.9336,0.0000,0.0000,0.00,0.00,0.0000,0.6633,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.4424,0.4403
1693,0.5059,0.5059,178.675,177.778,-0.897,0.000,-6.841,0.000,0.000,0.0000,0.00,0.00,0.0000,134.45,0.00,0.00,-0.03,0,0.000,0.000,0.000,0.000,0,134,134,0,0,0,0,0.0000,1.8691,0.0000,0.0000,0.00,0.00,0.0000,0.5853,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5073,0.5045
1793,0.5589,0.5589,177.776,177.778,0.002,0.000,-6.658,0.000,0.000,0.0000,0.00,0.00,0.0000,133.60,0.00,0.00,2.74,0,0.000,0.000,0.000,0.000,0,131,136,0,0,0,0,0.0000,1.8161,0.0000,0.0000,0.00,0.00,0.0000,0.4974,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.5614,0.5563
1896,0.6113,0.6113,177.440,177.778,0.338,0.000,-4.217,0.000,0.000,0.0000,0.00,0.00,0.0000,132.77,0.00,0.00,2.37,0,0.000,0.000,0.000,0.000,0,130,135,0,0,0,0,0.0000,1.7637,0.0000,0.0000,0.00,0.00,0.0000,0.4689,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.6144,0.6081
2003,0.6725,0.6725,178.472,177.778,-0.694,0.000,7.258,0.000,0.000,0.0000,0.00,0.00,0.0000,131.76,0.00,0.00,-4.03,0,0.000,0.000,0.000,0.000,0,136,128,0,0,0,0,0.0000,1.7025,0.0000,0.0000,0.00,0.00,0.0000,0.4108,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.6739,0.6712
2103,0.7239,0.7239,179.178,177.778,-1.400,0.000,2.497,0.000,0.000,0.0000,0.00,0.00,0.0000,130.93,0.00,0.00,-4.60,0,0.000,0.000,0.000,0.000,0,136,126,0,0,0,0,0.0000,1.6511,0.0000,0.0000,0.00,0.00,0.0000,0.2674,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.7247,0.7230
2207,0.7829,0.7829,178.996,177.778,-1.218,0.000,-2.325,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-2.37,0,0.000,0.000,0.000,0.000,0,132,128,0,0,0,0,0.0000,1.5921,0.0000,0.0000,0.00,0.00,0.0000,0.1022,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.7842,0.7815
2328,0.8518,0.8518,178.376,177.778,-0.599,0.000,-3.912,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.74,0,0.000,0.000,0.000,0.000,0,129,131,0,0,0,0,0.0000,1.5232,0.0000,0.0000,0.00,0.00,0.0000,0.0672,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.8535,0.8502
2428,0.9065,0.9065,178.297,177.778,-0.519,0.000,0.239,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-1.17,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,1.4685,0.0000,0.0000,0.00,0.00,0.0000,0.0115,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.9076,0.9054
2530,0.9605,0.9605,178.270,177.778,-0.492,0.000,-3.546,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-0.95,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,1.4145,0.0000,0.0000,0.00,0.00,0.0000,-0.0395,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.9616,0.9595
2630,1.0190,1.0190,178.020,177.778,-0.242,0.000,-4.156,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.23,0,0.000,0.000,0.000,0.000,0,130,130,0,0,0,0,0.0000,1.3560,0.0000,0.0000,0.00,0.00,0.0000,-0.0496,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.0211,1.0169
2730,1.0736,1.0736,177.894,177.778,-0.116,0.000,-4.217,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-0.01,0,0.000,0.000,0.000,0.000,0,130,130,0,0,0,0,0.0000,1.3014,0.0000,0.0000,0.00,0.00,0.0000,-0.0602,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.0752,1.0721
2837,1.1321,1.1321,178.147,177.778,-0.369,0.000,3.046,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-1.71,0,0.000,0.000,0.000,0.000,0,132,128,0,0,0,0,0.0000,1.2429,0.0000,0.0000,0.00,0.00,0.0000,-0.0756,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.1336,1.1306
2955,1.2017,1.2017,177.814,177.778,-0.036,0.000,-2.203,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.59,0,0.000,0.000,0.000,0.000,0,129,131,0,0,0,0,0.0000,1.1733,0.0000,0.0000,0.00,0.00,0.0000,-0.0718,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.2029,1.2005
3059,1.2596,1.2596,177.634,177.778,0.144,0.000,-1.714,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.56,0,0.000,0.000,0.000,0.000,0,129,131,0,0,0,0,0.0000,1.1154,0.0000,0.0000,0.00,0.00,0.0000,-0.0578,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.2613,1.2579
3163,1.3153,1.3153,177.405,177.778,0.373,0.000,1.581,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,1.38,0,0.000,0.000,0.000,0.000,0,129,131,0,0,0,0,0.0000,1.0597,0.0000,0.0000,0.00,0.00,0.0000,-0.0271,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.3164,1.3142
3342,1.4196,1.4196,176.874,177.778,0.904,0.000,-3.607,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,4.13,0,0.000,0.000,0.000,0.000,0,126,134,0,0,0,0,0.0000,0.9554,0.0000,0.0000,0.00,0.00,0.0000,0.0195,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.4214,1.4178
3442,1.4748,1.4748,176.661,177.778,1.116,0.000,-1.470,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,3.64,0,0.000,0.000,0.000,0.000,0,126,134,0,0,0,0,0.0000,0.9002,0.0000,0.0000,0.00,0.00,0.0000,0.1129,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.4765,1.4730
3618,1.5769,1.5769,178.505,177.778,-0.727,0.000,10.004,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-7.22,0,0.000,0.000,0.000,0.000,0,137,123,0,0,0,0,0.0000,0.7981,0.0000,0.0000,0.00,0.00,0.0000,0.0709,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.5771,1.5766
3718,1.6337,1.6337,179.041,177.778,-1.263,0.000,2.070,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-4.47,0,0.000,0.000,0.000,0.000,0,134,126,0,0,0,0,0.0000,0.7413,0.0000,0.0000,0.00,0.00,0.0000,-0.0385,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.6334,1.6340
3826,1.6955,1.6955,178.491,177.778,-0.713,0.000,-3.484,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,-0.81,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,0.6795,0.0000,0.0000,0.00,0.00,0.0000,-0.0807,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,1.6961,1.6948
