# TEST_BEGIN id=69 fw=unknown mode=IMU dist=2.000 time=0.000 can=0.000 ppm=906.1 ppmL=922.9 ppmR=889.3 mtr_bias=1 i2c_hz=100000 ctrl_ms=0 imu_present=1 imu_ok_start=1 lock_pwm=0 lock_pwm_val=0.0 softstart_ms=0
# spiffs_total=942080 spiffs_used=0 spiffs_free=942080
t_ms,meters,forwardM,currentYaw,targetYaw,yawErrDeg,yawI,gz_dps,gzRaw_dps,gzBias_dps,actualRate,leftRate,rightRate,speedErr,basePWM,corrRaw,corrFiltered,corrOut,canPhase,turnTargetDeg,turnImuDeg,turnEncDeg,turnFusedDeg,braking,lPwm,rPwm,mL_err_dir,mL_err_pwm,mR_err_dir,mR_err_pwm,lateralM,remainingM,nomTargetRate,effTargetRate,targetRatePps,actualRatePps,speedI,steerI,encTrimPwm,loopDtMs,corrUsed,motorBiasPwm,satShift,imuReadUs,motorWriteUs,cmdL_dir,cmdR_dir,regL_dir,regL_pwm,regR_dir,regR_pwm,distL,distR
1890,0.0000,0.0000,0.000,0.000,0.000,0.000,0.280,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,0.00,0,0.000,0.000,0.000,0.000,0,131,129,0,0,0,0,0.0000,0.5000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0000,0.0000
1991,0.0033,0.0033,-1.558,0.000,1.558,0.000,-27.796,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,7.60,0,0.000,0.000,0.000,0.000,0,123,137,0,0,0,0,0.0000,0.4967,0.0000,0.0000,0.00,0.00,0.0000,0.0498,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0054,0.0011
2112,0.0115,0.0115,-4.138,0.000,4.138,0.000,-24.867,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,14.36,0,0.000,0.000,0.000,0.000,0,117,143,0,0,0,0,0.0000,0.4885,0.0000,0.0000,0.00,0.00,0.0000,0.3850,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0184,0.0045
2216,0.0247,0.0247,-6.205,0.000,6.205,0.000,-9.852,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,18.56,0,0.000,0.000,0.000,0.000,0,112,148,0,0,0,0,0.0000,0.4753,0.0000,0.0000,0.00,0.00,0.0000,0.8978,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0325,0.0169
2321,0.0424,0.0424,-5.941,0.000,5.941,0.000,6.750,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,16.89,0,0.000,0.000,0.000,0.000,0,114,146,0,0,0,0,0.0000,0.4576,0.0000,0.0000,0.00,0.00,0.0000,1.4169,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0498,0.0349
2424,0.0650,0.0650,-4.997,0.000,4.997,0.000,13.891,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,15.28,0,0.000,0.000,0.000,0.000,0,116,144,0,0,0,0,0.0000,0.4350,0.0000,0.0000,0.00,0.00,0.0000,1.8167,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0715,0.0585
2525,0.0904,0.0904,-3.690,0.000,3.690,0.000,14.623,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,13.11,0,0.000,0.000,0.000,0.000,0,118,142,0,0,0,0,0.0000,0.4096,0.0000,0.0000,0.00,0.00,0.0000,2.0524,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.0954,0.0855
2627,0.1192,0.1192,-1.994,0.000,1.994,0.000,18.102,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,9.27,0,0.000,0.000,0.000,0.000,0,122,138,0,0,0,0,0.0000,0.3808,0.0000,0.0000,0.00,0.00,0.0000,2.1243,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1214,0.1169
2727,0.1501,0.1501,0.111,0.000,-0.111,0.000,20.544,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,3.66,0,0.000,0.000,0.000,0.000,0,127,133,0,0,0,0,0.0000,0.3499,0.0000,0.0000,0.00,0.00,0.0000,1.9952,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1495,0.1507
2830,0.1832,0.1832,1.482,0.000,-1.482,0.000,8.031,0.000,0.000,0.0000,0.00,0.00,0.0000,130.00,0.00,0.00,1.67,0,0.000,0.000,0.000,0.000,0,129,131,0,0,0,0,0.0000,0.3168,0.0000,0.0000,0.00,0.00,0.0000,1.7085,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0,0,0,0,0,0,0.1810,0.1855
